rot,area
It's expected that you won't exchange goods and money for sexual photos when you're married.,amitheasshole
It's understandable that we don't always want to attend family events.,amitheasshole
You shouldn't have to stay at a place you don't like.,amitheasshole
It's wrong to uproot your family and move to a place where you have no connections and don't know anyone.,amitheasshole
It is inconsiderate to expect a friend to give you money.,amitheasshole
You don't have to help out your parents if you don't feel like it.,amitheasshole
It is good to fill out your own paperwork.,amitheasshole
It's rude to only want to listen to specific details.,amitheasshole
Your boyfriend has the right to wear whatever underwear he chooses.,amitheasshole
You shouldn't think ill of your family.,amitheasshole
You should never do anything that may cause your children to despise you.,amitheasshole
It is good for couples to communicate their problems and move on when there is tension after a fight.,amitheasshole
It is wrong to take video games too seriously.,amitheasshole
Families should be able to talk out their problems with each other.,amitheasshole
You shouldn't play pranks on your classmates.,amitheasshole
You shouldn't expect people to work if they don't want to.,amitheasshole
It's okay to say the n word if it's in a textbook.,amitheasshole
You should let your ex go.,amitheasshole
It's wrong to be mad at your friends for petty reasons.,amitheasshole
It's important to let people know when they are acting in ways that upset you.,amitheasshole
You should explain to a friend why you cannot give them money if you cannot.,amitheasshole
It is important for both partners to use birth control items.,amitheasshole
Partners are expected to want to spend a good amount of time with each other.,amitheasshole
It's okay to not want to date someone you are uncomfortable dating.,amitheasshole
It's good to give advice to your friends.,amitheasshole
You don't have to be responsible for your cousin's problems.,amitheasshole
You shouldn't expect others to pick up the tab for your mistakes.,amitheasshole
People should follow the rules.,amitheasshole
You're supposed to date for love and not looks.,amitheasshole
People are expected to want to be close to their family.,amitheasshole
You shouldn't have your partner over when you have your friend over at your house.,amitheasshole
It's okay to be upset if someone you report to at work lets you take the blame for something you didn't do.,amitheasshole
It is understandable to call the police when you know someone is committing a crime.,amitheasshole
It's frowned upon for people to continue a relationship with a former romantic interest when they've moved on to other relationships.,amitheasshole
You can't expect people to do the dishes all the time.,amitheasshole
It's good to have things in common with your partner's parents.,amitheasshole
Being lazy about keeping the house clean is bad behavior.,amitheasshole
You shouldn't expect people to always stay at their job.,amitheasshole
You shouldn't care who your friends hook up with.,amitheasshole
City vehicles should not expect to park wherever they please.,amitheasshole
You shouldn't expect your ex to not have sex after the relationship is over.,amitheasshole
You should love your parents.,amitheasshole
It's okay to be offended when your partner doesn't want you cooking for their kids.,amitheasshole
It's bad to make big purchases behind your significant other's back.,amitheasshole
It's not okay to think someone is lying to you when it's important.,amitheasshole
It's fine to establish rules for how long your rommates can have company stay.,amitheasshole
You shouldn't get pissed off at your siblings.,amitheasshole
There should be trust in a relationship.,amitheasshole
You can't expect someone to pay off their loans immediately.,amitheasshole
It is mean to get involved in an affair with someone in a relationship.,amitheasshole
It's rude to dislike your best friend's boyfriend.,amitheasshole
It's okay if you are tired at work if you want to ask to go home.,amitheasshole
It's good to like your job.,amitheasshole
It's wise to do monthly payments if you can't pay back a loan right away.,amitheasshole
You shouldn't be hypocritical.,amitheasshole
It's okay to be upset with a friend.,amitheasshole
It is ok if you cancel last minute on people due to an illness.,amitheasshole
It is wrong to insult your boyfriend and then expect him to want to be around you.,amitheasshole
You should only call the cops for emergencies.,amitheasshole
You should always help out your family with money.,amitheasshole
You shouldn't expect people to do all their chores.,amitheasshole
It's responsible to take part in rearing a younger sibling.,amitheasshole
You shouldn't rat out other people.,amitheasshole
It's okay to start your life over again if you have to.,amitheasshole
You shouldn't expect others to give you their food.,amitheasshole
"If you are uncomfortable with your partner feeding your kids, you should not let your partner watch your children.",amitheasshole
It's wrong to do drugs with your partner.,amitheasshole
It is responsible to look out for the children of the community.,amitheasshole
You shouldn't let others lead you on.,amitheasshole
Relationships are expected to have clear communication.,amitheasshole
It's rude to want to snoop in your ex's online accounts.,amitheasshole
"You shouldn't walk around in the rain, you might get sick.",amitheasshole
You shouldn't be friends with someone that talks badly about you behind your back.,amitheasshole
You shouldn't accept money from someone you don't want to date.,amitheasshole
It's good to show solidarity with family members in the face of adversity.,amitheasshole
"Not everyone wants their images on social media, so you should respect it if they ask you not to share them.",amitheasshole
It's fine to get angry if someone doesn't want to do something you want them to do.,amitheasshole
You shouldn't lie about drug use.,amitheasshole
It's not okay to abuse things like drugs.,amitheasshole
You shouldn't touch other people.,amitheasshole
You shouldn't try to get sympathy from people just because you're in the hospital.,amitheasshole
It's wrong to talk to your friends about sensitive topics.,amitheasshole
It is okay to only want to hang out with certain people.,amitheasshole
It is okay to not want to go to a party.,amitheasshole
It's understandable to not want to contribute work to a group project.,amitheasshole
It's wrong for partners to lie to each other.,amitheasshole
You shouldn't call out your family over petty things.,amitheasshole
Partners are expected to support each other.,amitheasshole
It's understandable that you don't want to be burden by other people's moments in their lives.,amitheasshole
It's wrong to not understand sometimes peoples situation isn't the best.,amitheasshole
You shouldn't get upset at your partner.,amitheasshole
You should care about your siblings.,amitheasshole
It's fine to ban anyone you want to from an online account.,amitheasshole
It's understandable to want a partner to wear clothing that appeals to you.,amitheasshole
It is wrong to value a substance more than your significant other,amitheasshole
It is bad to be addicted to things.,confessions
It's wrong for a parent to do things to make their children loose respect of them.,confessions
You shouldn't be with someone who sleeps with your kids.,confessions
It's wrong to hate fitness people.,confessions
It's wrong to love people who are engaged.,confessions
